order_id,user_id,product_name,quantity,unit_price,total_amount,currency,status,payment_method,ip_address,user_agent,created_at,updated_at
ORD12C65D3C,416006,Fully-configurable context-sensitive adapter,2,23.68,492.08,CNY,delivered,wechat,210.144.41.242,Opera/9.10.(X11; Linux x86_64; tr-CY) Presto/2.9.189 Version/11.00,2026-01-27T18:34:24,2026-02-14T22:02:54
ORD4E8B782E,796072,Object-based clear-thinking function,9,682.4,4927.88,CNY,paid,alipay,141.146.112.127,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_3 rv:4.0; mr-IN) AppleWebKit/532.47.4 (KHTML, like Gecko) Version/5.0.1 Safari/532.47.4",2026-02-06T00:57:52,2026-02-14T22:14:20
ORD7B1D5B9E,757158,Down-sized modular migration,3,293.71,4867.39,CNY,shipped,wechat,38.211.252.139,Opera/9.77.(Windows 98; ur-IN) Presto/2.9.167 Version/11.00,2026-02-07T07:21:38,2026-02-15T18:33:32
ORDE33FF4ED,258504,Assimilated hybrid middleware,9,426.68,4616.89,CNY,shipped,alipay,7.237.226.165,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),2026-02-01T16:37:10,2026-02-13T12:35:23
ORD2BD5B674,907396,Cloned needs-based challenge,5,447.31,2495.35,CNY,paid,alipay,17.118.252.36,Opera/8.91.(Windows NT 4.0; ka-GE) Presto/2.9.185 Version/10.00,2026-02-01T05:54:59,2026-02-16T07:47:24
ORD1441BB8A,492553,Monitored even-keeled contingency,3,418.35,3092.38,CNY,paid,alipay,209.61.90.153,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_4 rv:2.0; mr-IN) AppleWebKit/532.23.4 (KHTML, like Gecko) Version/5.0.3 Safari/532.23.4",2026-02-17T02:12:47,2026-02-15T15:24:42
ORD3264308A,605815,Programmable tangible standardization,1,930.33,4176.65,CNY,paid,alipay,155.37.100.201,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0),2026-01-22T20:05:04,2026-02-14T00:52:25
ORD945A0C33,713823,Future-proofed zero administration function,4,19.43,1655.68,CNY,pending,alipay,26.70.186.154,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/14.3q3165.0 Mobile/80K481 Safari/531.2",2026-02-08T17:09:57,2026-02-13T19:14:53
ORD3315C78F,808790,Vision-oriented multimedia implementation,5,657.5,1352.44,CNY,shipped,alipay,50.170.207.102,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),2026-02-17T08:06:43,2026-02-17T11:35:30
ORD54D6EA0C,634685,Public-key regional projection,2,930.88,4868.09,CNY,shipped,alipay,130.61.23.154,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),2026-02-11T20:25:28,2026-02-18T08:42:15
ORD04C470A7,167799,Organized responsive ability,9,457.44,3889.26,CNY,pending,alipay,67.117.254.223,"Mozilla/5.0 (Windows 98) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/40.0.888.0 Safari/532.0",2026-02-04T11:16:04,2026-02-13T02:43:51
ORDF9BEB8E1,547369,Virtual needs-based attitude,9,68.72,3628.32,CNY,paid,wechat,206.46.236.37,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.41.1 (KHTML, like Gecko) Version/5.0.5 Safari/531.41.1",2026-02-04T11:14:21,2026-02-18T02:41:01
ORD1ABF7176,219870,Distributed actuating Internet solution,8,786.93,1542.02,CNY,cancelled,alipay,77.217.212.71,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/61.0.895.0 Safari/535.0",2026-01-22T22:02:51,2026-02-15T00:30:35
ORD581E19B3,616441,Compatible mission-critical alliance,2,16.24,2204.31,CNY,delivered,alipay,72.106.95.198,Mozilla/5.0 (Android 4.2.1; Mobile; rv:36.0) Gecko/36.0 Firefox/36.0,2026-01-31T10:56:37,2026-02-15T15:23:14
ORD33B7A2C4,155303,Progressive upward-trending extranet,9,908.47,560.09,CNY,cancelled,alipay,136.88.11.122,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/45.0.803.0 Safari/535.0",2026-02-11T14:12:06,2026-02-17T11:31:54
ORD5AAC0FB5,483678,Up-sized demand-driven archive,7,423.33,1591.05,CNY,shipped,wechat,135.41.64.77,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/39.0.894.0 Safari/534.0",2026-02-11T02:24:02,2026-02-12T12:23:32
ORD5936D1DA,386700,Virtual full-range contingency,1,941.36,1225.15,CNY,shipped,alipay,50.162.250.84,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),2026-02-18T08:42:24,2026-02-14T02:16:28
ORDE297EDA3,435125,Inverse human-resource attitude,8,871.83,227.59,CNY,shipped,credit_card,176.249.208.147,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.3.20) Gecko/6213-08-15 11:57:42 Firefox/3.6.18,2026-02-12T11:39:56,2026-02-14T22:55:00
ORD83FEF7E2,764268,Secured mission-critical matrix,8,385.99,3373.99,CNY,delivered,alipay,6.209.115.29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/37.0.872.0 Safari/534.1",2026-02-16T08:32:31,2026-02-18T18:57:23
ORD48834709,783999,Persevering actuating extranet,7,678.13,4749.73,CNY,shipped,debit_card,35.19.172.203,"Mozilla/5.0 (Linux; Android 2.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/42.0.823.0 Safari/532.2",2026-01-23T11:35:32,2026-02-14T02:00:17
ORD6E9765C2,431989,Multi-lateral encompassing service-desk,3,426.2,3564.47,CNY,shipped,credit_card,166.187.154.23,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; he-IL) AppleWebKit/534.5.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6534.5.6",2026-01-26T17:19:39,2026-02-17T10:21:10
ORD03016900,852181,Multi-layered 4thgeneration intranet,7,965.08,4977.87,CNY,paid,alipay,148.210.142.126,Mozilla/5.0 (Android 3.2.1; Mobile; rv:24.0) Gecko/24.0 Firefox/24.0,2026-01-24T02:47:38,2026-02-13T13:56:38
ORDEDBAEB7A,832981,Adaptive full-range array,1,331.05,4037.3,CNY,shipped,alipay,70.216.181.111,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.49.4 (KHTML, like Gecko) Version/5.0.4 Safari/532.49.4",2026-02-11T10:29:29,2026-02-17T18:47:03
ORD49F99D79,657968,Digitized radical project,6,827.61,4204.71,CNY,shipped,wechat,123.233.116.145,Opera/8.84.(X11; Linux i686; it-CH) Presto/2.9.176 Version/11.00,2026-02-01T06:11:47,2026-02-18T08:30:21
ORDD65446A3,311718,Sharable maximized architecture,5,666.2,307.94,CNY,pending,alipay,94.108.113.179,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/3.1),2026-02-11T10:24:42,2026-02-12T12:39:40
ORD81C44EF6,408177,Multi-tiered 24/7 strategy,2,310.48,2585.18,CNY,shipped,credit_card,172.166.8.161,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),2026-02-10T04:16:13,2026-02-13T23:26:22
ORD75132F69,935577,Centralized exuding portal,5,544.1,158.27,CNY,delivered,alipay,199.45.110.246,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),2026-02-12T21:35:53,2026-02-14T11:54:21
ORD8ADC47A3,236933,Sharable needs-based conglomeration,3,107.88,326.81,CNY,paid,credit_card,76.105.60.35,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),2026-02-02T12:45:21,2026-02-13T06:43:35
ORDC4E5E7FF,738627,Balanced systematic implementation,5,185.84,4946.57,CNY,paid,credit_card,23.55.206.1,Mozilla/5.0 (Windows CE; af-ZA; rv:1.9.1.20) Gecko/3468-09-02 08:48:42 Firefox/15.0,2026-02-02T19:31:06,2026-02-15T20:41:51
ORDAE9389C4,263562,Business-focused attitude-oriented encoding,8,667.26,3658.94,CNY,paid,wechat,152.200.210.236,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; th-TH) AppleWebKit/534.42.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6534.42.7",2026-02-10T12:12:22,2026-02-18T21:49:54
ORD59331479,762528,Operative fault-tolerant extranet,10,642.21,2419.45,CNY,delivered,credit_card,32.151.167.55,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/5.0),2026-01-30T17:06:54,2026-02-12T07:26:06
ORDBCFA5926,223602,Robust 4thgeneration parallelism,2,459.77,3612.54,CNY,delivered,alipay,29.93.163.119,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; vi-VN) AppleWebKit/531.24.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.24.4",2026-01-21T14:55:05,2026-02-17T08:32:12
ORD434DA2D1,526505,Realigned logistical solution,2,164.4,3033.47,CNY,shipped,alipay,133.210.246.120,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ik-CA) AppleWebKit/533.26.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.26.6",2026-01-25T04:36:14,2026-02-15T07:33:33
ORDCF9A6E42,320295,Streamlined 3rdgeneration interface,1,736.96,2304.25,CNY,delivered,wechat,54.123.4.101,Opera/9.16.(X11; Linux i686; hr-HR) Presto/2.9.180 Version/10.00,2026-01-22T23:25:29,2026-02-15T03:27:37
ORD212FE8CE,703767,Public-key motivating capability,3,892.76,4733.2,CNY,shipped,wechat,163.214.87.132,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/5.1),2026-02-03T19:29:13,2026-02-17T15:36:36
ORD7A326A01,793472,Customer-focused bifurcated intranet,5,771.86,4574.2,CNY,shipped,alipay,157.136.53.35,Opera/9.27.(X11; Linux i686; hr-HR) Presto/2.9.176 Version/12.00,2026-01-29T18:30:46,2026-02-14T16:06:17
ORDB6518B86,104699,User-centric 24hour framework,10,235.87,2282.42,CNY,paid,alipay,49.141.194.255,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/63.0.883.0 Safari/536.0",2026-02-10T08:32:16,2026-02-12T20:17:43
ORD5424E7B3,456441,Multi-lateral content-based access,9,975.86,4712.31,CNY,paid,wechat,220.170.223.164,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.0),2026-02-03T14:43:16,2026-02-13T17:03:46
ORDB230CEAD,912432,User-friendly client-driven service-desk,3,442.41,2436.58,CNY,shipped,credit_card,108.102.19.228,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_4; rv:1.9.3.20) Gecko/2490-01-27 06:00:53 Firefox/3.6.20,2026-01-27T05:25:07,2026-02-12T16:12:43
ORD19B0E4EA,732813,Assimilated needs-based methodology,9,669.73,4082.55,CNY,paid,debit_card,179.224.132.255,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_6 rv:6.0; it-IT) AppleWebKit/535.34.1 (KHTML, like Gecko) Version/5.1 Safari/535.34.1",2026-02-18T16:57:59,2026-02-14T22:55:27
ORDAFDAE6BD,147457,Proactive eco-centric protocol,1,399.59,4069.85,CNY,cancelled,alipay,173.115.184.250,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/21.0.829.0 Safari/533.2",2026-02-12T10:07:41,2026-02-13T07:00:51
